"","ubigeo_inei","UbigeoMINSA","Vac6Jun","Vac28Jul","Vac18Oct","Poblacion18","departamento","provincia","distrito","SaludIDH","EducacionSIDHE","IngresoIDHE","IDH2019","IVIA","Pobreza","PobrezaExtrema","Avance1","Avance2","Avance3","IDHCategorias","PobrezaCategorias","IVIAnum","IVIACategorias"
"67","010602",67,19,211,996,1821,"AMAZONAS","RODRIGUEZ DE MENDOZA","CHIRIMOTO",67.8594507601649,26.6064696968095,0.109145156075673,0.262898139825049,"0.69777125120162997",38.449165,12.30337,1.04338275672707,11.5870400878638,54.6952224052718,"Q1","Q3",0.69777125120163,"Q1"
"68","010603",68,48,113,425,607,"AMAZONAS","RODRIGUEZ DE MENDOZA","COCHAMAL",76.1555130827283,58.453607667233,0.208308619467822,0.424114715076105,"0.52165675163268999",33.428571,7.082071,7.90774299835255,18.6161449752883,70.0164744645799,"Q3","Q3",0.52165675163269,"Q3"
"69","010604",69,56,730,1957,2304,"AMAZONAS","RODRIGUEZ DE MENDOZA","HUAMBO",71.7056802998888,34.2371130622365,0.288230798129926,0.406387658365786,"0.55184590816497803",22.971,7.376823,2.43055555555556,31.6840277777778,84.9392361111111,"Q3","Q4",0.551845908164978,"Q3"
"70","010605",70,36,348,1128,1358,"AMAZONAS","RODRIGUEZ DE MENDOZA","LIMABAMBA",67.7225194228552,35.0721646003398,0.113486925703061,0.286111524424427,"0.67845439910888705",37.433423,11.21742,2.65095729013255,25.6259204712813,83.0633284241532,"Q1","Q3",0.678454399108887,"Q2"
"71","010606",71,59,303,1168,1377,"AMAZONAS","RODRIGUEZ DE MENDOZA","LONGAR",71.8702911173267,42.292904370998,0.266187910525937,0.418452147083352,"0.49767321348190302",25.822,5.72598,4.28467683369644,22.0043572984749,84.8220769789397,"Q3","Q4",0.497673213481903,"Q3"
"72","010607",72,57,330,1161,1538,"AMAZONAS","RODRIGUEZ DE MENDOZA","MARISCAL BENAVIDES",73.0043517226077,53.8316945028472,0.337174846648079,0.482818762660017,"0.35247844457626298",22.117973,3.42374,3.70611183355007,21.4564369310793,75.4876462938882,"Q3","Q4",0.352478444576263,"Q4"
"73","010608",73,16,125,420,546,"AMAZONAS","RODRIGUEZ DE MENDOZA","MILPUC",67.7249083994365,23.3814430668932,0.192526500944189,0.310427637045169,"0.54203283786773704",31.604121,5.592042,2.93040293040293,22.8937728937729,76.9230769230769,"Q2","Q3",0.542032837867737,"Q3"
"74","010609",74,70,636,3185,7062,"AMAZONAS","RODRIGUEZ DE MENDOZA","OMIA",68.5016931605641,27.0198819114863,0.146896275840301,0.295900498888919,"0.69026768207550104",39.50835,23.20612,0.991220617388842,9.00594732370433,45.1005380911923,"Q1","Q2",0.690267682075501,"Q1"
"75","010610",75,5,144,440,504,"AMAZONAS","RODRIGUEZ DE MENDOZA","SANTA ROSA",76.1701827151837,26.3041234502549,0.242560207177115,0.357542049919816,"0.57861709594726496",24.453776,9.304521,0.992063492063492,28.5714285714286,87.3015873015873,"Q2","Q4",0.578617095947265,"Q3"
"76","010611",76,26,125,335,411,"AMAZONAS","RODRIGUEZ DE MENDOZA","TOTORA",68.4088741916342,23.3814430668932,0.329485914130121,0.390800666091571,"0.52229356765747104",22.971,6.589066,6.32603406326034,30.4136253041363,81.5085158150852,"Q3","Q4",0.522293567657471,"Q3"
"77","010612",77,4,65,460,1863,"AMAZONAS","RODRIGUEZ DE MENDOZA","VISTA ALEGRE",69.482747004807,28.289340314425,0.09136354782182,0.249041865462379,"0.78137409687042203",51.237772,18.66729,0.214707461084273,3.48899624261943,24.6913580246914,"Q1","Q1",0.781374096870422,"Q1"
"78","010701",78,1074,4546,16809,40167,"AMAZONAS","UTCUBAMBA","BAGUA GRANDE",71.5790296189844,67.8587208007043,0.344309757647401,0.509394176943613,"0.33764201402664201",24.502994,9.396441,2.67383673164538,11.3177484004282,41.8477854955561,"Q4","Q4",0.337642014026642,"Q4"
"79","010702",79,298,2028,8684,20775,"AMAZONAS","UTCUBAMBA","CAJARURO",71.5328908898475,56.2034451161087,0.338775793621042,0.451709642936526,"0.575800180435181",35.929618,18.77501,1.43441636582431,9.76173285198556,41.8002406738869,"Q3","Q3",0.575800180435181,"Q3"
"80","010703",80,84,703,2663,6669,"AMAZONAS","UTCUBAMBA","CUMBA",70.7633415600714,37.0243933736606,0.223923701991755,0.362661087747427,"0.613431096076965",37.445098,14.35234,1.259559154296,10.5413105413105,39.9310241415505,"Q2","Q3",0.613431096076965,"Q2"
"81","010704",81,112,443,1617,4291,"AMAZONAS","UTCUBAMBA","EL MILAGRO",72.2912549648168,51.4198250402877,0.422364228492217,0.509728302454768,"0.52964568138122603",26.712135,7.604293,2.61011419249592,10.3239338149615,37.6835236541599,"Q4","Q4",0.529645681381226,"Q3"
"82","010705",82,82,615,2424,5431,"AMAZONAS","UTCUBAMBA","JAMALCA",70.9910884066056,53.3749514676751,0.261173946443534,0.407599707750131,"0.65870010852813698",35.474788,12.48479,1.50985085619591,11.3238814214693,44.6326643343767,"Q3","Q3",0.658700108528137,"Q2"
"83","010706",83,90,745,3500,7240,"AMAZONAS","UTCUBAMBA","LONYA GRANDE",70.8491452257363,42.1090108983446,0.25901636559908,0.406520272457245,"0.55904853343963601",32.328096,11.55903,1.24309392265193,10.2900552486188,48.3425414364641,"Q3","Q3",0.559048533439636,"Q3"
"84","010707",84,32,330,1471,2680,"AMAZONAS","UTCUBAMBA","YAMON",70.229505986281,40.5911956778919,0.18304621965704,0.356250410607554,"0.66267502307891901",38.391761,4.701998,1.19402985074627,12.3134328358209,54.8880597014925,"Q2","Q3",0.662675023078919,"Q2"
"85","020101",85,3452,9931,34315,49653,"ANCASH","HUARAZ","HUARAZ",74.3215295635943,74.0455549094768,0.401625277218454,0.603079301578916,"0.28335523605346702",10.242455,0.599588,6.95224860532093,20.0008055908002,69.1096207681308,"Q4","Q5",0.283355236053467,"Q5"
"86","020102",86,20,273,1034,1572,"ANCASH","HUARAZ","COCHABAMBA",69.9562565658777,36.5318078291425,0.104945736354371,0.273067850922722,"0.72014236450195301",51.041382,25.33511,1.27226463104326,17.3664122137405,65.7760814249364,"Q1","Q1",0.720142364501953,"Q1"
"87","020103",87,24,76,205,275,"ANCASH","HUARAZ","COLCABAMBA",71.6682030760598,46.6152479991773,0.169697785893359,0.378720840126659,"0.61750304698944103",40.32822,6.118961,8.72727272727273,27.6363636363636,74.5454545454545,"Q2","Q2",0.617503046989441,"Q2"
"88","020104",88,31,307,923,1697,"ANCASH","HUARAZ","HUANCHAY",70.4355072980579,52.0945841675017,0.112506793951525,0.321614375712249,"0.67019575834274303",33.213594,22.44553,1.82675309369476,18.0907483794932,54.3901001767826,"Q2","Q3",0.670195758342743,"Q2"
"89","020105",89,3306,10337,36481,52241,"ANCASH","HUARAZ","INDEPENDENCIA",75.2986091671784,73.3703897539794,0.374479528187014,0.584997707639346,"0.29154187440872198",11.537697,0.628832,6.3283627801918,19.7871403686759,69.832124193641,"Q4","Q5",0.291541874408722,"Q5"
"90","020106",90,57,673,2789,4188,"ANCASH","HUARAZ","JANGAS",78.798678139529,58.4735128410733,0.214546548978792,0.432387975358943,"0.43775814771652199",23.373813,8.470116,1.36103151862464,16.0697230181471,66.5950334288443,"Q3","Q4",0.437758147716522,"Q4"
"91","020107",91,55,208,707,1238,"ANCASH","HUARAZ","LA LIBERTAD",71.1830213155256,28.4368098635758,0.0417007111724913,0.192918183255076,"0.65272045135498102",40.451562,15.84168,4.44264943457189,16.8012924071082,57.108239095315,"Q1","Q2",0.652720451354981,"Q2"
"92","020108",92,107,706,2020,2599,"ANCASH","HUARAZ","OLLEROS",74.4958654901739,52.3902207905192,0.107418965173992,0.322188003852431,"0.62161898612976096",27.58076,8.872901,4.11696806464025,27.1642939592151,77.7222008464794,"Q2","Q4",0.621618986129761,"Q2"
"93","020109",93,45,265,684,1093,"ANCASH","HUARAZ","PAMPAS",70.035804203479,59.1569694846703,0.11184378523867,0.333531560701873,"0.64388191699981701",46.279289,8.4222,4.11710887465691,24.2451967063129,62.580054894785,"Q2","Q2",0.643881916999817,"Q2"
"94","020110",94,55,483,2072,4020,"ANCASH","HUARAZ","PARIACOTO",73.0382164254398,51.7315557064041,0.135400539067588,0.338115324875019,"0.56732249259948797",32.034603,10.00584,1.3681592039801,12.0149253731343,51.5422885572139,"Q2","Q3",0.567322492599488,"Q3"
